Job No,Date,Client,Type Of Txn,Filmed By,Antenna,Location,Satellite,Txp,Sat Charges Paid,Sat Provider,Duration,Pricing,Engineer2,Comments,Guest / Reporter,Studio,Camera,Guest fee,Duration_in_minutes
95,06-Jan-22,trt arabic,live studio transmission,Cameraman,WMT,NO Specific Location,No Satellite,Output 2,No Sat Charges,No Sat Provider,0:15,120,Engineer,Comment,Guest / Reporter,6(3rdfloor),,Payment,15
96,06-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
97,06-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
98,06-Jan-22,other,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 3 7A,ISOL,Noorsat,11:20,"1,135.00",Engineer,No Comment,No Guest / Reporter,No Studio,,No Payment,680
99,06-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
100,06-Jan-22,other,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 1 7A,ISOL,Noorsat,2:00,270,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,120
101,06-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:20,32,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,20
102,06-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
103,06-Jan-22,mbc,sng,NO Cameraman,Sunny G365649,Assigned Location,E21B,Other Ch,Client,No Sat Provider,3:50,400,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,230
104,07-Jan-22,alghad tv,live position transmission,Cameraman,FLW,NO Specific Location,E21B,AlGhad Slot 2,Client,No Sat Provider,0:15,285,Engineer,No Comment,Guest / Reporter,underthebuilding,,No Payment,15
105,07-Jan-22,trt arabic,live position transmission,Cameraman,WMT,NO Specific Location,No Satellite,Output 1,No Sat Charges,No Sat Provider,0:15,120,Engineer,No Comment,Guest / Reporter,underthebuilding,,No Payment,15
106,07-Jan-22,alghad tv,live position transmission,Cameraman,FLW,NO Specific Location,E21B,AlGhad Slot 2,Client,No Sat Provider,0:15,285,Engineer,No Comment,Guest / Reporter,underthebuilding,,No Payment,15
109,07-Jan-22,ap gms,live position transmission,Cameraman,FLW,NO Specific Location,E10A,B2,Client,No Sat Provider,0:10,250,Engineer,No Comment,Guest / Reporter,underthebuilding,,No Payment,10
111,07-Jan-22,ap gms,live studio transmission,Cameraman,FLW,NO Specific Location,E10A,B2,Client,No Sat Provider,0:15,400,Engineer,Comment,Guest / Reporter,6(3rdfloor),,Payment,15
113,07-Jan-22,trt arabic,live studio transmission,Cameraman,WMT,NO Specific Location,No Satellite,Output 2,No Sat Charges,No Sat Provider,0:15,120,Engineer,Comment,Guest / Reporter,1(6thfloor),,Payment,15
114,07-Jan-22,trt arabic,live position transmission,Cameraman,WMT,NO Specific Location,No Satellite,Output 1,No Sat Charges,No Sat Provider,0:15,120,Engineer,No Comment,Guest / Reporter,underthebuilding,Sony XDcam X150,No Payment,15
115,07-Jan-22,alghad tv,live position transmission,Cameraman,FLW,NO Specific Location,E21B,AlGhad Slot 3,Client,No Sat Provider,0:15,285,Engineer,No Comment,Guest / Reporter,underthebuilding,Sony XDcam X150,No Payment,15
116,07-Jan-22,alghad tv,live studio transmission,Cameraman,FLW,NO Specific Location,E21B,AlGhad Slot 3,Client,No Sat Provider,0:30,475,Engineer,Comment,Guest / Reporter,7(3rdfloor),Sony HDV270,Payment,30
117,07-Jan-22,russian today,live studio transmission,Cameraman,Aviwest,NO Specific Location,No Satellite,Ch 3,No Sat Charges,No Sat Provider,0:15,130,Engineer,Comment,Guest / Reporter,6(3rdfloor),Sony HDV270,Payment,15
118,07-Jan-22,alghad tv,live studio transmission,Cameraman,FLW,NO Specific Location,E21B,AlGhad Slot 3,Client,No Sat Provider,0:15,285,Engineer,Comment,Guest / Reporter,7(3rdfloor),Sony HDV270,Payment,15
119,07-Jan-22,other,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 1 7A,ISOL,Noorsat,3:30,378,Engineer,No Comment,No Guest / Reporter,No Studio,,No Payment,210
120,07-Jan-22,other,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 3 7A,ISOL,Noorsat,11:00,"1,100.00",Engineer,No Comment,No Guest / Reporter,No Studio,,No Payment,660
121,07-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
122,07-Jan-22,other,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 1 7A,ISOL,Noorsat,2:00,270,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,120
123,07-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
124,07-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:20,32,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,20
125,08-Jan-22,alghad tv,live position transmission,Cameraman,FLW,NO Specific Location,E21B,AlGhad Slot 2,Client,No Sat Provider,0:15,285,Engineer,No Comment,Guest / Reporter,underthebuilding,,No Payment,15
126,08-Jan-22,alghad tv,live studio transmission,Cameraman,FLW,NO Specific Location,E21B,AlGhad Slot 2,Client,No Sat Provider,0:15,285,Engineer,Comment,Guest / Reporter,7(3rdfloor),,Payment,15
132,08-Jan-22,trt arabic,live studio transmission,Cameraman,WMT,NO Specific Location,No Satellite,Output 2,No Sat Charges,No Sat Provider,0:15,120,Engineer,Comment,Guest / Reporter,1(6thfloor),Sony XDcam X150,Payment,15
133,08-Jan-22,alghad tv,live position transmission,Cameraman,FLW,NO Specific Location,E21B,AlGhad Slot 3,Client,No Sat Provider,0:15,285,Engineer,No Comment,Guest / Reporter,underthebuilding,Sony XDcam X150,No Payment,15
134,08-Jan-22,bloomberg asharq,live position transmission,Cameraman,Aviwest,NO Specific Location,No Satellite,No Txp,No Sat Charges,No Sat Provider,0:20,180,Engineer,No Comment,Guest / Reporter,underthebuilding,Sony XDcam X150,No Payment,20
135,08-Jan-22,bloomberg asharq,live position transmission,Cameraman,Aviwest,NO Specific Location,No Satellite,No Txp,No Sat Charges,No Sat Provider,0:20,180,Engineer,No Comment,Guest / Reporter,underthebuilding,,Payment,20
136,08-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 3 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
137,08-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:20,32,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,20
138,08-Jan-22,other,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 3 7A,ISOL,Noorsat,12:00,"1,200.00",Engineer,No Comment,No Guest / Reporter,No Studio,,No Payment,720
139,08-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
140,08-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
141,08-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 1 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
142,08-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:35,56,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,35
143,08-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:35,56,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,35
144,08-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:50,80,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,50
145,08-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 1 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
146,08-Jan-22,alghad tv,renting 4g,Cameraman,No Antenna,Assigned Location,E21B,AlGhad Slot 3,No Sat Charges,No Sat Provider,4:30,500,Engineer,Comment,Guest / Reporter,No Studio,,No Payment,270
