,Price,4G,Reporter,Crew Duration,edit duration,DayOfWeek,Report Duration (seconds),Client_bbc arabic,Client_beirutsat,Client_bloomberg asharq,Client_byblos medya,Client_newstime,Client_priyanka cgtn,Client_russia today,Truck_Nissan Sunny,Truck_Nissan X.Trail,Truck_Renault Duster,Truck_Suzuki Cias,Truck_other Truck,Others Acces_No Acces,Others Acces_Pro-X,Others Acces_Torch,Format_MP4-HD,Format_MXF,Format_MXF OP1A,Format_MXF-HD 50i,Format_No format
699,50,0,0,0,216,3,178,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
700,50,0,1,0,120,3,141,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
701,350,0,0,330,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
702,265,0,1,150,120,4,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
703,250,0,1,360,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
704,180,0,0,120,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
705,280,0,0,190,432,4,161,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
706,265,0,1,60,15,5,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
707,280,0,1,60,90,5,220,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
708,265,0,1,175,120,6,145,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
709,250,0,1,175,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
710,350,0,0,180,20,0,91,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
711,180,0,0,185,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
712,50,0,1,0,120,0,269,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
713,50,0,1,0,120,0,250,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
714,350,0,0,210,60,1,999,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
715,265,0,1,310,120,1,167,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
716,285,0,0,220,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
717,280,0,0,220,0,1,136,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
718,40,0,1,0,150,1,205,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
719,265,0,1,60,120,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
720,265,0,1,250,20,2,274,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
721,350,0,0,50,30,3,173,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
722,265,1,1,420,105,3,137,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
723,280,0,1,130,105,3,216,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
724,50,0,0,0,504,3,222,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
725,40,0,1,0,90,3,180,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
726,350,0,0,230,45,4,1380,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
727,265,0,1,115,35,4,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
728,265,0,1,210,60,5,288,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
729,180,0,1,60,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
730,265,0,1,270,60,6,653,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
731,180,0,0,55,0,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
732,280,0,1,150,0,6,170,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
733,350,0,0,80,60,0,202,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
734,265,1,1,360,90,0,138,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
735,350,0,0,120,45,1,324,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
