,GVG Focus 75,LDX-80,Sony,Lenses: Tele lens,Lenses: Box lenses,Lenses:Fujinon,Canon Digisuper 75 XSW / EDFS,Video server,Headset microphones,Handled microphone,Audio monitor,Audio Mixer,Microphones,video server,LCD Screen,Wireless intercom.1,view finders,HF wireless,BLT slow motion,Playout server,Converters from HDMI to SDI,Other Accessories,CAMERAMEN STUDIO OPERATOR,Technician OBVAN,Price,Month,DayOfWeek,CLIENT_Other,CLIENT_Russia Today,CLIENT_Skynews Arabia,Distance_Category
135,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,8,1,0,0,0,1.0
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,150,9,4,0,0,0,2.0
137,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4825,9,5,0,0,0,1.0
138,0,6,0,0,0,0,0,0,2,2,0,1,2,1,0,0,0,0,0,0,0,0,1,1,3425,9,4,0,0,0,1.0
139,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,9,2,0,0,0,0.0
140,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,10,5,0,0,0,1.0
141,0,0,3,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,1,1,1000,10,2,0,1,0,2.0
142,0,6,0,0,0,0,0,0,2,0,0,1,2,1,0,0,0,0,0,0,0,0,1,1,3550,10,2,0,0,0,1.0
143,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,10,4,0,0,0,1.0
144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2100,10,2,0,0,0,1.0
145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2100,10,3,0,0,0,1.0
146,0,0,3,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,1000,10,3,0,1,0,0.0
147,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,150,10,3,0,0,0,1.0
148,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2245,10,4,0,0,1,2.0
149,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2100,11,3,0,0,0,0.0
150,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,11,1,0,0,0,0.0
151,0,4,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2100,11,1,0,0,0,0.0
152,0,4,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2150,11,2,0,0,0,0.0
153,0,4,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,1400,12,3,1,0,0,0.0
154,0,5,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2600,12,1,0,0,0,2.0
155,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2400,12,1,0,0,0,1.0
